ID	team	title	abstract	village	medal	awards	nominations	year	PIs	instructors	advisors	student leaders	students	roster members	section	country	region	wiki	status
5956	GEC							2025	GEC					1	High School	China	Asia		Cancelled
5957	IISER-Berhampur	POSEIDON - Phytoprotein-Optimized System for Environmental Ion DetoxificatiON	Toxic metal contamination in drinking water disproportionately affects rural and industrial communities exposed to mercury, aluminum, iron, and hexavalent chromium. Conventional remediation methods are energy-intensive and often inaccessible. POSEIDON (Phytoprotein-Optimized System for Environmental Ion Detoxification) offers a synthetic biology solution, using metal-binding peptides for selective ion removal. Phytochelatin synthase (PCS) and engineered metallothionein (MT) are expressed in safe E. coli, purified, and immobilized onto biodegradable alginate hydrogel beads via EDC/NHS chemistry. Packed into modular cartridges, these reusable, gravity-operated units are optimized through modeling for efficient mixed-metal removal. POSEIDON promotes sustainability, local fabrication, and modularity while supporting SDGs 3, 6, 8, 9, 11, 14, 15, and 17.	Bioremediation	Silver Medal			2025	Prosenjit Mondal, Parikshit Moitra		Amal Chacko, Priya Rawat, Sabyasachi parija	Ananya, Prajna	Aditya, Aniket, Ankan Chakrabarty, Aseel Arsath, Belide Saketha Ram, Chris John, Diptendu, Sampurna Roy, Sanchit, Souvik Biswas, subrat, Swastik Sourav	19	Undergrad	India	Asia	https://2025.igem.wiki/iiser-berhampur	Accepted
5958	HS-SouthEast-Union							2025	BIBS					1	High School	China	Asia		Cancelled
5959	HS-Northern-Union							2025	BIBS					1	High School	China	Asia		Cancelled
5960	HS-Southern-Union							2025	BIBS					1	High School	China	Asia		Cancelled
5961	NAIS	CardioGuard: Dual-System Biosynthesis of Leonurine for Cardiovascular and Cerebrovascular Protection	Cardiovascular and cerebrovascular diseases claim over 17 million lives annually, accounting for 32% of global deaths (WHO, 2019). Leonurine, an alkaloid from Leonurus japonicus, shows preclinical protective effects by reducing oxidative stress, improving circulation, and inhibiting platelet aggregation. To enable sustainable production, we established a dual-platform biosynthesis strategy in Escherichia coli and Nicotiana tabacum hairy root systems. Both platforms heterologously express the final two pathway enzymes, LjUGT5 and LjSCPL, enabling conversion of the supplemented precursors sinapic acid (SA) and 4-guanidinobutanol into leonurine. We compare yield and cost efficiency across systems to identify an optimal, scalable route, providing a stable source of leonurine for cardiovascular protection.	Biomanufacturing	Gold Medal	Best Plant Synthetic Biology		2025	Ruyi Shi, Siqi Yang, Zhang Zhaoxia	Peng Li, Ping Xu	Thinker Si	Jolin, LILANQIN	Amiee XIONG, ChenYiJie, Haocheng Wang, Junze Wang, LIN YIHENG, NI Pang Ho, Qi Miao, QIU SIHAN, Xinyuan Deng, Yanzixin, Yining Wang, Yixin Wang, Zhang Lanxi	21	High School	China	Asia	https://2025.igem.wiki/nais	Accepted
5962	KCL-UK	Latent Tuberculosis Diagnosis - Infecheck	One disease. Two billion lives affected. Tuberculosis (TB) remains humanity's most persistent infectious killer - and its hidden form, latent TB, can strike without warning. Yet current tests are slow, costly, and often out of reach for the communities hit hardest. Infecheck addresses the problem with early detection of LTB. We are developing a cheap, paper-strip diagnostic that uses a simple finger-prick blood sample to detect upregulated miRNAs specific to LTB. We explored two promising methods for exosomal miRNA detection: Toehold Switches and CCDR. We envision our end-product to be in the form of a lateral flow test and to use microfluidics as the extraction method. The test delivers easy-to-read results without requiring lab-based equipment. Our approach prevents the progression from latent to active TB, therefore reducing patient suffering and TB spread. INFECHECK - because we can't cure what we can't find.	Infectious Diseases	Gold Medal			2025	Anatoliy Markiv			Maria, Maya	Abi, Angela, Antonia, Daniela Gago, Ethan Rodrigues, Igor Wade, Kash, Mateusz kowalski, Matt, Mina, Mohana, Sana Sahul Hameed, Scarlett, Zara A	17	Undergrad	United Kingdom	Europe	https://2025.igem.wiki/kcl-uk	Accepted
5963	Summit City Bio	The Project Title and Abstract will be available after the team submits the Judging Form.	Abstract not available	Bioremediation				2025	Briana			Cale' Sanders, Kendal Smith, Madalyn	Blaze, Sean	6	Undergrad	United States	North America	https://2025.igem.wiki/summit-city-bio	Accepted
5964	MPA-USA	Engineered EcN for Neoeriocitrin Production in Colorectal Cancer Therapy	Colorectal cancer (CRC) incidence is rising globally and increasingly affects people under 40. Current therapies are invasive and often cause severe side effects. We developed a precision therapeutic strategy using engineered Escherichia coli Nissle 1917 (EcN). Neoeriocitrin, a natural flavonoid with antioxidant, anti-inflammatory, and immunomodulatory activities, shows promise in CRC prevention and adjuvant therapy but faces limitations of low yield and high extraction cost. To overcome this, we reconstructed its complete biosynthetic pathway in EcN by introducing VvRHM, UGT73B2, and Cm1,2RhaT, enabling efficient and controlled production. To ensure biosafety, we designed a dual suicide system: arabinose-inducible pBAD triggers in vivo lysis, while low-temperature-inducible pCspA provides environmental containment, both cooperating with MazF. This engineered probiotic integrates high-yield biosynthesis with strict biocontainment, offering a safe, controllable, and effective adjuvant strategy for CRC therapy, particularly for young patients with early-onset disease.	Oncology	Gold Medal		Best New Composite Part, High School+Best Wiki, High School	2025	Anny Toone, Jinrong Liu			Annabella Dai, David Chen	Daniel, Ella, Eric Miao, Grace, Grace Chen, Haoqing Zhou, Isabella, Jamie, Johnny Zhu, Keiya, Kevin Wong, Liangziyou Kang, Luna Chen, Sophie, Xinyuan Zhang, Yuna	20	High School	United States	North America	https://2025.igem.wiki/mpa-usa	Accepted
5965	UNILA-LatAm	NANODEN - Nanobodies for Dengue	In 2024, Brazil recorded the world's highest number of dengue cases, with over 6 million suspected and 3 million confirmed infections. Foz do Iguaçu, in western Paraná, faced a severe outbreak, with more than 10,000 reported cases, 1,280 confirmed infections, and 22 deaths, leading to a State of Emergency. To address this situation, Nanoden proposes an innovative synthetic biology solution: to develop nanobodies capable of binding to the dengue virus envelope protein, followed by the genetic modification of the mosquito's natural bacterium, Serratia marcescens, to produce these nanobodies. This interaction prevents the virus from entering mosquito cells, interrupting its transmission and offering a sustainable, long-term strategy for vector control.	Infectious Diseases				2025	Cristian Antonio Rojas		Luis Carrasco, Marco Almeida	Aline Lima, Ana Alice Rodrigues de Oliveira, Andrea Simone Moreno Salvador, Gabriela Santana Queiroz, Leonardo, Luis, Maria Eduarda Machado Catalan, Rosie	Cecília de Azevedo Marques, Elvira Márquez, Emerson Danzer, Gissella Silva, Guilherme Berlim, Ingrid, Isabella Forteza, JHOSSELYN, Julia Abatti, Larissa, Luane, Maria Esther Vivanco Suazo, Rafaela, Veronica	25	Overgrad	Brazil	Latin America	https://2025.igem.wiki/unila-latam	Accepted
5966	BLR-SCA							2025	LaQuintaHS					1	High School	India	North America		Cancelled
5967	GHCIS	A High-Yield Plectasin Yeast Cell Factory: Constructing Efficient Plectasin-Producing P. Pastoris	Antimicrobial peptides (AMPs) are naturally occurring defense molecules with broad-spectrum antimicrobial activity, low resistance induction, and high stability. Plectasin, a fungal AMP, effectively inhibits Gram-positive bacteria and is used in feed additives. Current production methods such as extraction and chemical synthesis remain limited by low yield and high cost. Genetically engineered microorganisms offer a promising alternative, enabling scalable, cost-effective AMP production with tailored design. The yeast Pichia pastorisis a particularly suitable host due to its safety, efficient secretion machinery, and simple cultivation. In this study, we engineer P. pastorisby integrating the plectasin NZ2114 gene and optimizing regulatory elements to generate a high-yield strain, thereby facilitating its commercial-scale production.	Biomanufacturing	Gold Medal		Best New Basic Part, High School	2025	Weina			JIN ZICHENG, RAO NIKE, WANG MANNI	CHEN SIYUAN, LI YINYUE, TANG XITONG, WANG KEXIN, WANG XIWEN, XIONG YANJUN, YANG BORUI, YANG YAN	12	High School	China	Asia	https://2025.igem.wiki/ghcis	Accepted
5968	AFMU-China	SynNotch-Engineered Macrophages for Enhanced Liver Cancer Therapy (SYNERGY) - A Precision Immunotherapy	"The AFMU-China 2025 team has developed SYNERGY, a synthetic Notch system (SynNotch)-based engineered macrophage therapy designed to address two critical challenges in liver cancer treatment: tumor antigen heterogeneity and the immunosuppressive tumor microenvironment. SYNERGY employs a team-developed anti-SLC17A2 single-chain variable fragment (scFv) as an INPUT module to specifically recognize the SLC17A2 protein on hepatocyte surfaces, enabling liver microenvironment-specific activation. Simultaneously, a P65-SIRP? shRNA bicistronic system serves as the OUTPUT module, reprogramming macrophages into an anti-tumor M1 phenotype while blocking the ""don't eat me"" signal, thereby synergistically enhancing therapeutic efficacy. To reduce costs, we further established an in vivo gene editing platform using lipid nanoparticles (LNP) for tumor-associated macrophage (TAM) reprogramming, offering a ""single-injection"" therapeutic strategy for liver cancer. This technology holds broad potential for applications in hepatitis, liver fibrosis, and other liver diseases, providing a novel avenue for precision liver cancer therapy."	Oncology	Gold Medal			2025	Junlong Zhao, Hongyan Qin, Chunchen Gao, Fan Fan	Hai Yang	Jin yao, Ziheng Wang	Tianyao Wang, Zihan Chen	Bohua Wang, Hanchang, Haotian Xu, HU YING DONG, Shutong Li, Xiaolin Chen, Xikun Lu, Xinlei Liu, Yimin Yang, Yuhao Cao, Zhu Lisichen, Zhutian, Zishuo Xie, Zixuan Liu, Ziying Wang	24	Undergrad	China	Asia	https://2025.igem.wiki/afmu-china	Accepted
5969	UFlorida	Generative Design of Osteocalcin Binder Protein for Point-of-Care Based Sensor	Long-duration spaceflight causes accelerated bone loss, increasing astronauts' risk of skeletal weakening. Existing bone monitoring methods rely on invasive sampling, underscoring the need for a rapid, non-invasive diagnostic suitable for microgravity. Targeting osteocalcin, a key marker of bone turnover, our team is developing a de novo protein binder as the foundation for a biosensor. Using BindCraft, an AI-based protein design platform, we generated and refined binder candidates, ranking interactions through HADDOCK3 docking simulations. Top designs were codon-optimized, cloned into E. coli, and purified for testing. Binding kinetics and affinities will be assessed via Bio-Layer Interferometry (BLI). This project integrates computational and experimental approaches to create a modular workflow for selective protein binder development, enabling future biosensors that can monitor astronaut bone health and other biomarkers in both space and clinical settings.	Space	Silver Medal			2025	Jing Pan			Caroline Lee, Lucy Pellenbarg, Nicholas Marotta	Abigail Leon, Alyssa, Anouska Seal, Ayush, Cassandra, Divya Huilgol, Jae Sarner, Mahi Balaraju, Shruti Sreekanth, Velan, Venkata, Yansheng Luo	16	Undergrad	United States	North America	https://2025.igem.wiki/uflorida	Accepted
5970	SFLS-Shenzhen	Eucaplyn - Biosynthesis of 1,8-Cineole: A Sustainable Approach to Anti-Acne Skincare	Currently, the primary market applications of 1,8-cineole (Eucalyptol) are concentrated in perfumes, essential oils, and food processing. However, few have utilized 1,8-cineole for producing pharmaceuticals or skincare products. The key issue lies in the current bottleneck of purifying the component from plants (purity generally only reaches 80%-85%), coupled with the fact that the active component is highly prone to thermal decomposition, and traditional extraction processes are costly. In contrast, our production of 1,8-cineole using synthetic biology methods theoretically enables high purity, high efficiency, stable, and controllable production. This is precisely the key to addressing the pain points of traditional processes and enhancing product quality. Freed from the constraints of high cost and low purity, 1,8-cineole, leveraging its multi-target anti-acne capabilities including inhibiting Cutibacterium acnes, reducing inflammatory responses, and clearing excess sebum, holds promise as a novel anti-acne product superior to current single-mechanism options on the market.	Fashion & Cosmetics	Bronze Medal			2025	Yanwei Xiong, Wei Yan	Wanting Liu	Chaster W, Emma, sabrina Y	Carla Liu, Jerry, ???	Alice Liu, Chen Tianqin, Elaine Zhu, Hazel, Huang Hanyu, Jiarui Liu, Norgel, Xinyi yuan, Yongzhuo Lyu, Yucheng, zihe	20	High School	China	Asia	https://2025.igem.wiki/sfls-shenzhen	Accepted
5971	Profuture-BJ	FLUversal	Influenza remains a major global health challenge, infecting up to 10% of the population annually and causing significant morbidity and mortality, especially among vulnerable groups. Current vaccines require yearly reformulation due to rapid viral mutation, often resulting in reduced effectiveness. Our iGEM project aims to design a universal influenza vaccine that targets the highly conserved HA2 region of the hemagglutinin protein.	Biomanufacturing	Silver Medal			2025	Jing Du	Kelly, Lei Yingjie, ???		Cai Yuheng, Shuya Yang, Wuyixuan	Feifan Hong, Kaining Wan, LI.JIANGYUE, Miao Zihao, motang, Qidong, QIN,ZIMENG, Shuxuan Chen, suqingyi, Wang Xinrou, Wangxintong, Wu Yixuan, Yitao Zhao, Ziheng Zhu	21	High School	China	Asia	https://2025.igem.wiki/profuture-bj	Accepted
5972	ECUST-China	Wukong SmartDrive: A Micro-Biohybrid Robotic System for Precision Delivery of Engineered Bacterial Vaccines in Aquaculture	"China's classical novel ""Journey to the West"", the project transforms his ""72 transformations"" of adaptability and breakthrough spirit into technical design concepts, demonstrating the deep integration of traditional wisdom and modern technology. Technically, our team successfully developed a novel vaccine delivery system responsive to specific light signals using gene editing technology. This system utilizes a biomimetic vaccine robot to achieve targeted penetration of fish immune barriers and precise activation of immune responses, thereby significantly enhancing disease resistance in fish. Meanwhile, the automated immersion inoculation equipment adopts high-efficiency, non-destructive designs to ensure high precision and scalability during inoculation, making it suitable for large-scale farming scenarios. Practice has shown that this technological system effectively reduces antibiotic usage and decreases disease outbreak frequency. The project's achievements provide innovative solutions for marine ecological protection and global food security, showcasing the potential of interdisciplinary collaboration in addressing agricultural challenges."	Agriculture	Gold Medal			2025	Yue Ma, Qiyao Wang, Menghao Cai, Pengfei Li, Shuai Tan, Xiaohong Liu, Youyuan Li, Yueling Liu	Jiang Boyin, Peherden·Ahat, Runsheng Chen		Jiayi Xie, Yangxin Zhang, Yongkang Yang	Caijing Wu, ChenMingyu, Chenwei Luo, Chenxi Liu, Chenyang, Edward, Heng Li, Huimin Ye, maolin zheng, Ruhao Zhao, Su, Wanchen Song, Wenbo Li, Wenqi Wu, Xiang Yifei, Xiaoting Duan, Yanye Zhang, Yixuan Xie, Yusun Fu, ??	34	Undergrad	China	Asia	https://2025.igem.wiki/ecust-china	Accepted
5973	SKLBE-China	GoutBuster: Intestine-Targeted Engineered Bacteria for Purine-Urate Transport & Degradation and Hyperuricemia Prevention-Treatment System	Gout, driven by hyperuricemia, now affects about 55.8 million people worldwide and is projected to reach 95.8 million by 2050. East Asia bears a disproportionate burden, with a 175.9% increase in cases and 26.4% higher age-standardized prevalence. Current drugs targeting liver/kidney function often cause severe side effects, necessitating safer alternatives. Our project GoutBuster develops an engineered probiotic that modulates intestinal purine-urate metabolism. Biosafety is ensured by deleting the smr resistance gene and assessing gene transferability. Efficacy is enhanced through integration of a high-efficiency urate transporter (UacT) and a secretory uricase, enabling purine absorption blockade, urate transport, and degradation. Support tools include a dynamic dosing model, multilingual voice assistant, public engagement platform (Suprobiotics), and inclusive science communication formats. GoutBuster aligns with WHO goals for safe, accessible non-communicable disease treatments and offers a novel, replicable model for metabolic disease management and probiotic innovation.	Therapeutics	Gold Medal			2025	YingZhou, Qiyao Wang, Pengfei Li, Youyuan Li, Yueling Liu	Runsheng Chen, Yifan Zhang, Zhen-Ping Zou		Liaosha Ke, Xiancheng Huang, Xinye Liu, Ziqi Wang	Jiahao Wu, Qisen Li, Qiyue Wang, Shiyu Cheng, TianyaoDeng, Wanyue Xu, Xinwen Xu, Xinyu Hou, Yanrui Zhang, Yibei Ji, Yiyang Wang, Yujing Bi, Yujing Huang, Yushan Zhou, Yusheng Cao, Yutong Chu, Zhanghang Yu, Zhuorun Li, Zichen Gong, Zidong Zhou	32	Overgrad	China	Asia	https://2025.igem.wiki/sklbe-china	Accepted
5974	NEFU-China	LignoDoc: Biocatalytic Conversion of Lignin-Derived Vanillic Acid to Paracetamol	The utilization of lignin in straw remains challenging. Direct incineration not only exacerbates the climate crisis but also constitutes a waste of resources. To address this issue, we have successfully converted lignin into paracetamol while preserving its benzene ring structure. This approach helps mitigate environmental problems caused by straw burning and offers a sustainable pathway for pharmaceutical production. In the future, this project is expected to pave the way for more high-value applications of lignin, enabling the green synthesis of valuable benzene-ring-containing products.	Climate Crisis	Silver Medal			2025	Pengchao Wang, Chunqing Wang	Chang Liu, Chunbo Teng, Huihui Zhang, Xingguo Lan, Xin Li, Yang Zhang, Zhichao Xu	Bo Sun, Lingli Chen, Mengjin Zhang, Murong Sun, Shutong Tan, Wanbin Xing, Weifeng Xu, Xiaojie Tian, Xiaoyang Hou, Yongli Qiao, Yongtao Wang, Yusheng Liu	Enzhe Liu, Xiaoyi Li	Beizhi Zuo, Haoxiang Lu, Heying Dai, Jiayao He, Jiaying Jin, Jinyu Bai, Junyu Pan, Kejia Yao, Mengwen Wei, Qiuxuan Pan, Shaotong Luo, Su Xu, Teng Zhang, Xianhao Li, Xinying Wang, Xinyu He, Xuran Bai, Yina Zhong, Yuhan Bai, Zhaokun Jiang, Zheng Zhang, Zhexiang Zhao, Zhihan Qu, Zirui Zhou, Ziyue Xu	48	Undergrad	China	Asia	https://2025.igem.wiki/nefu-china	Accepted
5975	Sakura-Japan							2025	Nishida				Ayak, haru, iGEM Sakura Japan, Kenshiro TAMATA, Kosuke Kizaki, Maya Somerville, Miruhi Tsumiyama, oz, Shingi, Yuzuki	11	High School	Japan	Asia		Cancelled
5976	SCAU-China	Surfing TentaRobot: A Tide-Synchronized Biofilm Platform for Heavy-Metal Remediation in Mangrove Ecosystems	"Mangrove ecosystems face escalating heavy metal pollution threats. We developed ""Surfing TentaRobot""--a tide-adaptive bioremediation platform using engineered Bacillus subtilis. Core innovations: (1) Self-assembling adsorption: TasA-ShMT3 fusion proteins and ?sinR-tasA ?epsA chassis achieve effective heavy metal capture. (2) Biomineralization: Dsp-aCA carbonic anhydrase catalyzes MICP, precipitating CaCO?/MgCO? to permanently sequester adsorbed metals and prevent tidal re-mobilization. (3) Osmotic NOT gate enables tidal rhythm function switching: LLM-assisted workflow identified osmotic-responsive PproHJ promoter; TetR-based NOT gate design enables functional switching between adsorption and mineralization. (4) Cross-scale modeling: Six-layer framework spans molecular docking to field deployment, including competitive assembly models explaining capacity limitations, coupling kinetics quantifying mineralization interference, UTide tidal analysis determining optimal deployment parameters, and biofilm growth models guiding operational strategies. (5) Social responsibility: 215+ surveys and educational activities reaching 600+ students integrated stakeholder feedback. This work demonstrates transforming tidal salinity fluctuations from engineering constraints into regulatory signals for coastal ecosystem remediation."	Bioremediation	Gold Medal			2025	Wenbin Zhang, Jikai Wen, Zhe Hu			Chunhao Jin, Haojun Wu, Ling Chen, Ruomeng Zhang, Yanbing Zhang, Yingan Pan	Fangxi Chen, JIangnan Zhu, Jiyu Ma, Linfeng Chen, Shukai Guo, Tsukuyo, Wanyu gong, Yaqi Zhang, Yiweiteng, Yuhe Lu, Yuqing Cao, Yuxuan Gong, Zefeng Li, Zhou Haoreng	23	Undergrad	China	Asia	https://2025.igem.wiki/scau-china	Accepted
5977	Yale	Click. Customize. Cure. Engineering a Systematic Pipeline for Site-Specific Lipid Functionalization of Enzymes	Protein therapeutics have transformed medicine but often suffer from rapid clearance. L-asparaginase, used to treat childhood acute lymphoblastic leukemia, exemplifies this limitation. Conventional PEGylation extends its half-life but can trigger hypersensitivity and disrupt catalytic sites, highlighting the need for precise alternatives. Using genetically recoded E. coli and orthogonal translation systems, we incorporated nonstandard amino acids (nsAAs) enabling copper-catalyzed azide-alkyne click chemistry for site-specific fatty-acid conjugation. To identify tolerant positions, we combined sequence conservation analysis with Golden Gate-based construction of L-asparaginase variants and experimentally evaluated catalytic activity. Several nsAA incorporation sites preserved native bioactivity. These data trained a computational ensemble integrating molecular dynamics, docking, and stability metrics to predict functional outcomes of nsAA substitutions. This pipeline links experimental and computational protein engineering, reducing screening needs and improving therapeutic stability--offering a safer, longer-lasting alternative to PEGylation for more effective leukemia treatment.	Foundational Advance	Gold Medal			2025	Farren Isaacs				Alp Namalan, Audrey Tsai, Ethan Powell, Judy, Lofty, Michael Sarullo, Miya Zhao, Nicole Nguyen, Reagan Labert, Yiannis Scotiniadis	11	Undergrad	United States	North America	https://2025.igem.wiki/yale	Accepted
5978	CSW-UD	Cleaning Up Oil Spills With the Help of Alcanivorax borkumensis	Marine oil spills pose recurring threats to ocean ecosystems. Alcanivorax borkumensis, a halophic, hydrocarbonoclastic bacterium evolved to thrive around oil-contaminated environments, is promising for bioremediation. Its concentration increases naturally after oil spills, efficiently degrading alkanes, utilizing specialized enzymes including alkane monooxygenases, cytochrome P450s, and biosurfactant-producing pathways. We explored A. borkumensis's biofilm formation and alkane oxygenation, identifying its overall better performance over champion isolates. Through a proteomic study, we identified secreted proteins in alkane degradation's first steps, testing their degradation abilities through a biochemical NPD-hydrazine assay. We deem the flavin-binding monooxygenase AlmA promising in alkane degradation. We also focused on creating a genetic toolbox for A. borkumensis, studying conjugation and broad-host range plasmid transformation. The findings indicate the enzymes responsible for the degradation's first steps, setting the foundation to create more complex genetic toolboxes. Future implementation, more efficient oil spill cleanup, has potential to save marine life and protect coastal industries.	Bioremediation	Gold Medal			2025	Michael Valenti, Kevin Solomon	Brett Graver		Anna Huang, Anushree Thirukumaran, Elaine Zuo, Subiksha Srinivasan Vidya	Amogh Dattatri, Ashley Liu, Asvika Gobinathan, Ayan Agrawal, Camila Mendoza, Chris Zhuang, Erin Kang, Leonard Dong, Maximilian Shi, Riya Sivva, Ruchika Yerram, Satya Kokonda, Selena Gao	20	High School	United States	North America	https://2025.igem.wiki/csw-ud	Accepted
5979	UESTC-China	RE-PEAt?Recycling Ethylene glycol to PolyEsters And terephthalate to p-coumaric acid	The UESTC-China team presents RE-PEAt, a platform that closes the PET loop by integrating enzymatic depolymerization with value-added biosynthesis. We synergistically hydrolyze PET into ethylene glycol (EG) and terephthalic acid (TPA) using magnetically immobilized PETase and Tfca. Through bioinformatics and synthetic biology, we engineered E. coli to consume EG as its sole carbon source, alleviating its competitive inhibition on PET hydrolases. Downstream, RE-PEAt converts EG into biodegradable polyesteramide and upgrades TPA into high-value p-coumaric acid, creating sustainable product streams. Furthermore, a colorimetric biosensor was constructed to monitor EG concentrations in real time, providing reliable guidance for both PET hydrolysis and EG conversion. By combining reusable biocatalysts with microbial upgrading, RE-PEAt offers an integrated framework for PET upcycling--from depolymerization to material and chemical regeneration.	Bioremediation	Silver Medal			2025	Kejun Deng, Hao Lin, Hao Lyu, Juan Feng, Kun yang, Lixia Tang, Xin Ma	Ling Quan	Kehan Chen, Yan Pan, Yuning Luo	JQF, Ruming Liu, XiaoweiLiu, Zijian Rong	Bariona, Liu Tianqi, Minus, Tongtong Wei, Wangyixuan, Xinran Lin, Ying Wang, Yuming GU, Zhang Yujie	24	Overgrad	China	Asia	https://2025.igem.wiki/uestc-china	Accepted
5980	UCalgary	A Single-Stranded DNA Biosensor in the Form of a Capillary Tube	The standard methods for detection of viruses in samples are expensive, time-consuming, and require access to specialized equipment. To address this problem, we aimed to design a point-of-care oligonucleotide sensor in the form of a capillary tube. This article discusses a proof-of-concept for this system as well as a modular phagemid system for us, and future iGEM teams, to safely validate viral-detection systems without the need to use pathogenic viruses.	Infectious Diseases	Gold Medal	Safety and Security Award		2025	Mark Ungrin			Isadora, Lauren Tang	Anna Zeng, Hazem, Khadeeja Abbas, Manar Bairq, Omar Amer, Preye, Rudrani Mukerji, Santiago, Ved Patel	12	Undergrad	Canada	North America	https://2025.igem.wiki/ucalgary	Accepted
5981	Jiashu-Shanghai							2025	Olivia					1	High School	China	Asia		Cancelled
5983	Jiashu-China	Dual-Function Probiotic: Protecting Astronauts' Muscle and Mental Health	Commercial spaceflight is rapidly evolving from experimental trials to large-scale operations, with companies like SpaceX, Blue Origin, and Virgin Galactic--and China's own emerging space sector--driving down launch costs and opening the door to space tourism, lunar bases, and Mars colonization. Yet long-duration missions pose serious health risks, particularly microgravity-induced muscle loss and mood disorders. We address this challenge by engineering E. coli Nissle 1917 with a de novo HMB biosynthesis pathway to combat sarcopenia and a serotonin pathway to support mental well-being, creating a dual-function probiotic to safeguard astronaut health and enable sustainable human presence in space.	Space	Gold Medal		Best Village Project, High School	2025	Olivia	RuiLiu		Jinxuan Sun, Lingyu Wang, Qige Zheng, Zhaoyang Jiang	Chutong Xu, Hanqing Yang, Haozhe Ye, Hongbo Sun, Huiyuan He, Jiayi Zou, Lezhi Chen, Shiqi Xu, Sijia Ni, Siyuan Liu, Stanley Tang, Xingbo Peng, Xinyi Chen, Xinyu Pan, Xinyu Tu, Xinziyi Huang, Yucheng Zhang, Yue Zhang, Yuman Zhang, Zhitong Chen, Zijie Ai	27	High School	China	Asia	https://2025.igem.wiki/jiashu-china	Accepted
5984	BIT-LLM	PROTEUS	We have successfully developed PROTEUS--a universal AI-driven protein optimization platform based on ESM-2, employing MLM (Masked Language Modeling) for function-oriented fine-tuning. Sequences were categorized into high/low-performance groups based on metrics such as enzymatic activity and thermal stability, and a DMS scoring function was designed to build an intelligent optimization engine. This model can accurately identify key functional sites, perform targeted optimization of low-performance protein sequences (e.g., antimicrobial peptides or industrial enzyme variants), and utilize AlphaFold for structural prediction to validate design rationality. Based on this project, we have developed an open-source software tool that allows users to input a target protein sequence and obtain an optimized solution with one click, providing a universal AI-driven design platform for synthetic biology.	Software & AI	Silver Medal			2025	YixinHuo, GuoShuyuan			Mao Du, Tong Cai, Yunfan Hu	Chenshiwei, Feng Shengchen, GKQ, Jia Wei, Justine, LangYanan, lsn, mym, Qiwei Zheng, Strawber, tianyu, Twx, WangKejian, WangShanEr, XuWentian, Yang Xinyi, Zhangxiaoyu, ???, ???, ???????, ??	26	Undergrad	China	Asia	https://2025.igem.wiki/bit-llm	Accepted
5985	SR-Shenzhen	Turning Bacteria into Time Fighters: Sustainable NMN Production with Synthetic Biology	"Current production methods face challenges such as high costs, harsh reaction conditions, complex processes, and environmental burdens. Using synthetic biology, we redesigned E. coli by introducing the genes NiaP, nadV, PnuC, and BaPRS, enabling efficient NMN production. Considering gender differences: for men, we engineered E. coli to produce GLP-1, which is combined with NMN to make capsules; for women, we engineered E. coli to produce glutathione, developed into oral solutions and antioxidant facial masks. Through this diversified design, our solution makes it easier for people to achieve healthier and more vibrant lives."	Fashion & Cosmetics	Gold Medal	Best Project Promotion Video		2025	Zhang zhenkun, Zhihua Yang		Jinyi Chen, Wang Chong, Zhang Mengjia, Zhang Zhixin	Chenxi Wang, Jialiang Xu, Kexin Zhou, Tengsu Wang	Boyuan Long, Cathy yizhi Liu, Chengzhang Cai, Chenrui Gu, Chenyu Liang, Congyu Yang, Dongxing Liu, Enzi Wu, Hongsen Xu, Huihan Cao, jasoncai, Jiuhao Lan, Qi Hou, songze wang, Wei Xing, Yachao Hu, Yiheng He, Yizhen Lyu, Yuxuan Li, Zhiyu Yao	30	High School	China	Asia	https://2025.igem.wiki/sr-shenzhen	Accepted
